Date,CSHD.L,VFEM.DE,VGEJ.DE,VGEU.DE,VJPN.DE,VNRT.DE
2018-01-02,126.5999984741211,52.13999938964844,23.094999313354492,30.65999984741211,26.6299991607666,55.38999938964844
2018-01-03,127.3499984741211,52.88999938964844,23.309999465942383,30.850000381469727,27.059999465942383,55.86000061035156
2018-01-04,127.8499984741211,53.13999938964844,23.309999465942383,31.114999771118164,27.315000534057617,55.95000076293945
2018-01-05,127.45999908447266,53.59000015258789,23.479999542236328,31.385000228881836,27.40999984741211,56.380001068115234
2018-01-08,126.87999725341797,53.900001525878906,23.479999542236328,31.5,27.764999389648438,56.79999923706055
2018-01-09,126.87999725341797,54.04999923706055,23.674999237060547,31.614999771118164,27.764999389648438,57.31999969482422
2018-01-10,126.81999969482422,53.54999923706055,23.674999237060547,31.485000610351562,27.96500015258789,56.95000076293945
2018-01-11,127.61000061035156,53.349998474121094,23.31999969482422,31.415000915527344,27.81999969482422,56.709999084472656
2018-01-12,128.74000549316406,53.70000076293945,23.295000076293945,31.524999618530273,27.809999465942383,56.790000915527344
2018-01-15,129.88999938964844,53.0099983215332,23.06999969482422,31.469999313354492,27.594999313354492,56.439998626708984
2018-01-16,129.50999450683594,53.529998779296875,23.209999084472656,31.46500015258789,27.729999542236328,56.650001525878906
2018-01-17,129.57000732421875,53.86000061035156,23.15999984741211,31.415000915527344,27.795000076293945,56.650001525878906
2018-01-18,129.57000732421875,53.97999954223633,23.094999313354492,31.46500015258789,27.53499984741211,56.65999984741211
2018-01-19,129.50999450683594,54.349998474121094,23.190000534057617,31.645000457763672,27.735000610351562,56.65999984741211
2018-01-22,129.50999450683594,54.86000061035156,23.110000610351562,31.7450008392334,27.770000457763672,56.959999084472656
2018-01-23,129.50999450683594,55.02000045776367,23.18000030517578,31.790000915527344,27.934999465942383,57.27000045776367
2018-01-24,129.50999450683594,54.83000183105469,23.094999313354492,31.704999923706055,27.704999923706055,56.7599983215332
2018-01-25,132.4499969482422,54.779998779296875,23.059999465942383,31.454999923706055,27.405000686645508,56.369998931884766
2018-01-26,131.58999633789062,55.36000061035156,23.2450008392334,31.635000228881836,27.655000686645508,56.90999984741211
2018-01-29,130.74000549316406,55.130001068115234,23.2549991607666,31.55500030517578,27.645000457763672,57.34000015258789
2018-01-30,131.22000122070312,53.90999984741211,22.950000762939453,31.309999465942383,27.209999084472656,56.529998779296875
2018-01-31,131.72999572753906,54.2599983215332,23.020000457763672,31.21500015258789,26.94499969482422,56.310001373291016
2018-02-01,132.07000732421875,53.70000076293945,22.825000762939453,31.059999465942383,27.010000228881836,56.06999969482422
2018-02-02,131.72999572753906,52.88999938964844,22.46500015258789,30.649999618530273,26.854999542236328,56.06999969482422
2018-02-05,131.47000122070312,52.61000061035156,22.28499984741211,30.149999618530273,26.2549991607666,54.84000015258789
2018-02-06,130.91000366210938,51.529998779296875,21.844999313354492,29.510000228881836,25.770000457763672,52.650001525878906
2018-02-07,130.10000610351562,52.439998626708984,21.969999313354492,30.065000534057617,26.46500015258789,54.75
2018-02-08,129.61000061035156,50.83000183105469,21.6200008392334,29.524999618530273,25.8700008392334,53.599998474121094
2018-02-09,129.61000061035156,50.130001068115234,21.325000762939453,29.114999771118164,25.604999542236328,52.439998626708984
2018-02-12,129.61000061035156,50.900001525878906,21.610000610351562,29.5,25.96500015258789,53.31999969482422
2018-02-13,130.89999389648438,50.95000076293945,21.65999984741211,29.264999389648438,25.545000076293945,53.040000915527344
2018-02-14,131.35000610351562,51.619998931884766,21.84000015258789,29.579999923706055,25.485000610351562,53.40999984741211
2018-02-15,132.2100067138672,52.5,22.110000610351562,29.729999542236328,25.739999771118164,53.689998626708984
2018-02-16,131.75999450683594,53.06999969482422,22.385000228881836,30.075000762939453,26.354999542236328,54.58000183105469
2018-02-19,131.27999877929688,52.77000045776367,22.19499969482422,29.854999542236328,26.469999313354492,54.58000183105469
2018-02-20,130.60000610351562,52.68000030517578,22.190000534057617,30.045000076293945,26.53499984741211,54.86000061035156
2018-02-21,130.25999450683594,53.529998779296875,22.3700008392334,30.079999923706055,26.454999923706055,55.099998474121094
2018-02-22,130.4199981689453,53.150001525878906,22.344999313354492,30.065000534057617,26.3799991607666,54.79999923706055
2018-02-23,130.4199981689453,53.54999923706055,22.440000534057617,30.1200008392334,26.59000015258789,54.93000030517578
2018-02-26,130.32000732421875,53.810001373291016,22.65999984741211,30.28499984741211,26.875,55.59000015258789
2018-02-27,129.5800018310547,53.25,22.584999084472656,30.204999923706055,26.915000915527344,55.59000015258789
2018-02-28,129.25,52.75,22.5,30.030000686645508,26.770000457763672,55.650001525878906
2018-03-01,129.0500030517578,52.95000076293945,22.3799991607666,29.6299991607666,26.270000457763672,55.09000015258789
2018-03-02,130.33999633789062,51.41999816894531,21.854999542236328,29.020000457763672,25.614999771118164,55.09000015258789
2018-03-05,130.66000366210938,52.09000015258789,21.94499969482422,29.34000015258789,25.924999237060547,55.09000015258789
2018-03-06,131.3699951171875,51.97999954223633,22.139999389648438,29.375,26.030000686645508,54.290000915527344
2018-03-07,131.13999938964844,51.88999938964844,22.0049991607666,29.469999313354492,25.834999084472656,54.290000915527344
2018-03-08,130.52000427246094,52.40999984741211,22.0049991607666,29.80500030517578,26.155000686645508,54.290000915527344
2018-03-09,130.4199981689453,53.15999984741211,22.700000762939453,29.915000915527344,26.139999389648438,54.290000915527344
2018-03-12,130.3300018310547,53.459999084472656,22.795000076293945,30.0,26.295000076293945,56.04999923706055
